Date,City,Country,Mode,Ridership,Population_Million,Passenger_per_Capita,GDP_Billion_USD,PM25_Mean_ug_m3
2021-01-01,Bangkok,Thailand,ARL,676101.0,10.72,0.06306912313432836,512.0,20.9
2021-01-01,Bangkok,Thailand,BTS,9391450.0,10.72,0.8760680970149254,512.0,20.9
2021-01-01,Bangkok,Thailand,MRT,4935121.0,10.72,0.4603657649253731,512.0,20.9
2021-01-01,Bangkok,Thailand,SRT,759649.0,10.72,0.07086277985074627,512.0,20.9
2021-02-01,Bangkok,Thailand,ARL,863373.0,10.72,0.08053852611940299,512.0,20.9
2021-02-01,Bangkok,Thailand,BTS,11726548.0,10.72,1.0938944029850746,512.0,20.9
2021-02-01,Bangkok,Thailand,MRT,6398935.0,10.72,0.596915578358209,512.0,20.9
2021-02-01,Bangkok,Thailand,SRT,797030.0,10.72,0.07434981343283582,512.0,20.9
2021-03-01,Bangkok,Thailand,ARL,1270675.0,10.72,0.11853311567164179,512.0,20.9
2021-03-01,Bangkok,Thailand,BTS,16664564.0,10.72,1.554530223880597,512.0,20.9
2021-03-01,Bangkok,Thailand,MRT,8827791.0,10.72,0.8234879664179104,512.0,20.9
2021-03-01,Bangkok,Thailand,SRT,1089265.0,10.72,0.10161054104477613,512.0,20.9
2021-04-01,Bangkok,Thailand,ARL,726935.0,10.72,0.06781110074626866,512.0,20.9
2021-04-01,Bangkok,Thailand,BTS,9101401.0,10.72,0.8490112873134328,512.0,20.9
2021-04-01,Bangkok,Thailand,MRT,4622503.0,10.72,0.43120363805970147,512.0,20.9
2021-04-01,Bangkok,Thailand,SRT,873391.0,10.72,0.08147304104477612,512.0,20.9
2021-05-01,Bangkok,Thailand,ARL,429894.0,10.72,0.04010205223880597,512.0,20.9
2021-05-01,Bangkok,Thailand,BTS,5884023.0,10.72,0.5488827425373134,512.0,20.9
2021-05-01,Bangkok,Thailand,MRT,2943081.0,10.72,0.2745411380597015,512.0,20.9
2021-05-01,Bangkok,Thailand,SRT,387773.0,10.72,0.03617285447761194,512.0,20.9
2021-06-01,Bangkok,Thailand,ARL,542592.0,10.72,0.05061492537313433,512.0,20.9
2021-06-01,Bangkok,Thailand,BTS,7384221.0,10.72,0.6888265858208955,512.0,20.9
2021-06-01,Bangkok,Thailand,MRT,3810522.0,10.72,0.35545914179104476,512.0,20.9
2021-06-01,Bangkok,Thailand,SRT,525172.0,10.72,0.048989925373134326,512.0,20.9
2021-07-01,Bangkok,Thailand,ARL,357740.0,10.72,0.03337126865671642,512.0,20.9
2021-07-01,Bangkok,Thailand,BTS,4906845.0,10.72,0.45772807835820895,512.0,20.9
2021-07-01,Bangkok,Thailand,MRT,2537499.0,10.72,0.2367069962686567,512.0,20.9
2021-07-01,Bangkok,Thailand,SRT,304304.0,10.72,0.028386567164179106,512.0,20.9
2021-08-01,Bangkok,Thailand,ARL,288509.0,10.72,0.026913152985074625,512.0,20.9
2021-08-01,Bangkok,Thailand,BTS,3965648.0,10.72,0.36992985074626866,512.0,20.9
2021-08-01,Bangkok,Thailand,MRT,2054293.0,10.72,0.19163180970149254,512.0,20.9
2021-08-01,Bangkok,Thailand,RL,90873.0,10.72,0.00847695895522388,512.0,20.9
2021-08-01,Bangkok,Thailand,SRT,241112.0,10.72,0.02249179104477612,512.0,20.9
2021-09-01,Bangkok,Thailand,ARL,438324.0,10.72,0.040888432835820894,512.0,20.9
2021-09-01,Bangkok,Thailand,BTS,6303548.0,10.72,0.5880175373134329,512.0,20.9
2021-09-01,Bangkok,Thailand,MRT,3181358.0,10.72,0.2967684701492537,512.0,20.9
2021-09-01,Bangkok,Thailand,RL,129844.0,10.72,0.01211231343283582,512.0,20.9
2021-09-01,Bangkok,Thailand,SRT,356981.0,10.72,0.03330046641791045,512.0,20.9
2021-10-01,Bangkok,Thailand,ARL,529444.0,10.72,0.049388432835820895,512.0,20.9
2021-10-01,Bangkok,Thailand,BTS,8475297.0,10.72,0.7906060634328358,512.0,20.9
2021-10-01,Bangkok,Thailand,MRT,4441846.0,10.72,0.41435130597014924,512.0,20.9
2021-10-01,Bangkok,Thailand,RL,200968.0,10.72,0.018747014925373135,512.0,20.9
2021-10-01,Bangkok,Thailand,SRT,560664.0,10.72,0.05230074626865672,512.0,20.9
2021-11-01,Bangkok,Thailand,ARL,818991.0,10.72,0.07639841417910448,512.0,20.9
2021-11-01,Bangkok,Thailand,BTS,10880466.0,10.72,1.0149688432835822,512.0,20.9
2021-11-01,Bangkok,Thailand,MRT,5890938.0,10.72,0.5495277985074627,512.0,20.9
2021-11-01,Bangkok,Thailand,RL,265038.0,10.72,0.024723694029850748,512.0,20.9
2021-11-01,Bangkok,Thailand,SRT,830895.0,10.72,0.0775088619402985,512.0,20.9
2021-12-01,Bangkok,Thailand,ARL,957420.0,10.72,0.08931156716417911,512.0,20.9
2021-12-01,Bangkok,Thailand,BTS,12881073.0,10.72,1.2015926305970148,512.0,20.9
2021-12-01,Bangkok,Thailand,MRT,6615393.0,10.72,0.6171075559701492,512.0,20.9
2021-12-01,Bangkok,Thailand,RL,308699.0,10.72,0.028796548507462688,512.0,20.9
2021-12-01,Bangkok,Thailand,SRT,1108163.0,10.72,0.10337341417910448,512.0,20.9
2022-01-01,Bangkok,Thailand,ARL,845195.0,10.9,0.0775408256880734,524.0,21.2
2022-01-01,Bangkok,Thailand,BTS,10546444.0,10.9,0.9675636697247706,524.0,21.2
2022-01-01,Bangkok,Thailand,MRT,5679378.0,10.9,0.5210438532110092,524.0,21.2
2022-01-01,Bangkok,Thailand,RL,255887.0,10.9,0.023475871559633026,524.0,21.2
2022-01-01,Bangkok,Thailand,SRT,990553.0,10.9,0.09087642201834863,524.0,21.2
2022-02-01,Bangkok,Thailand,ARL,867698.0,10.9,0.07960532110091743,524.0,21.2
2022-02-01,Bangkok,Thailand,BTS,11057595.0,10.9,1.0144582568807339,524.0,21.2
2022-02-01,Bangkok,Thailand,MRT,5895238.0,10.9,0.5408475229357799,524.0,21.2
2022-02-01,Bangkok,Thailand,RL,269500.0,10.9,0.024724770642201833,524.0,21.2
2022-02-01,Bangkok,Thailand,SRT,869756.0,10.9,0.07979412844036697,524.0,21.2
2022-03-01,Bangkok,Thailand,ARL,954550.0,10.9,0.08757339449541285,524.0,21.2
2022-03-01,Bangkok,Thailand,BTS,11875137.0,10.9,1.0894621100917432,524.0,21.2
2022-03-01,Bangkok,Thailand,MRT,6135145.0,10.9,0.5628573394495413,524.0,21.2
2022-03-01,Bangkok,Thailand,RL,273572.0,10.9,0.02509834862385321,524.0,21.2
2022-03-01,Bangkok,Thailand,SRT,959538.0,10.9,0.08803100917431193,524.0,21.2
2022-04-01,Bangkok,Thailand,ARL,899427.0,10.9,0.0825162385321101,524.0,21.2
2022-04-01,Bangkok,Thailand,BTS,10998518.0,10.9,1.0090383486238532,524.0,21.2
2022-04-01,Bangkok,Thailand,MRT,5601120.0,10.9,0.5138642201834862,524.0,21.2
2022-04-01,Bangkok,Thailand,RL,254977.0,10.9,0.02339238532110092,524.0,21.2
2022-04-01,Bangkok,Thailand,SRT,1124025.0,10.9,0.10312155963302752,524.0,21.2
2022-05-01,Bangkok,Thailand,ARL,1179857.0,10.9,0.10824376146788992,524.0,21.2
2022-05-01,Bangkok,Thailand,BTS,14366597.0,10.9,1.3180364220183487,524.0,21.2
2022-05-01,Bangkok,Thailand,MRT,7309083.0,10.9,0.6705580733944954,524.0,21.2
2022-05-01,Bangkok,Thailand,RL,327949.0,10.9,0.030087064220183486,524.0,21.2
2022-05-01,Bangkok,Thailand,SRT,1349815.0,10.9,0.1238362385321101,524.0,21.2
2022-06-01,Bangkok,Thailand,ARL,1353875.0,10.9,0.12420871559633027,524.0,21.2
2022-06-01,Bangkok,Thailand,BTS,17125599.0,10.9,1.571155871559633,524.0,21.2
2022-06-01,Bangkok,Thailand,MRT,8874766.0,10.9,0.8141987155963303,524.0,21.2
2022-06-01,Bangkok,Thailand,RL,396330.0,10.9,0.0363605504587156,524.0,21.2
2022-06-01,Bangkok,Thailand,SRT,1455787.0,10.9,0.13355844036697248,524.0,21.2
2022-07-01,Bangkok,Thailand,ARL,1422255.0,10.9,0.13048211009174313,524.0,21.2
